surrogate_state,forecast_state,operating_cost,normalized_operating_cost,energy_cost,curtailment_cost,degradation,network_violation,voltage_violation,line_flow_violation,terminal_soc_deviation
S0,F0,2286.3176269531,1.0000000000,1877.2082519531,318.4102172852,90.6992568970,0.0000000000,0.0000000000,0.0000000000,0.1512590349
S0,F1,2271.7404785156,0.9936241805,1874.3344726562,308.7753295898,88.6308288574,0.0000000000,0.0000000000,0.0000000000,0.1459422708
S0,F2,2281.6074218750,0.9979398291,1872.8254394531,324.7024536133,84.0793533325,0.0000000000,0.0000000000,0.0000000000,0.1405582428
S0,F3,2340.6662597656,1.0237712522,1883.7585449219,376.5509948730,80.3565902710,0.0000000000,0.0000000000,0.0000000000,0.1359190643
S0,F4,2377.9453125000,1.0400765338,1881.8253173828,416.9089050293,79.2111587524,0.0000000000,0.0000000000,0.0000000000,0.1231323779
S0,F5,2387.7280273438,1.0443553421,1882.8435058594,427.7374267578,77.1470642090,0.0000000000,0.0000000000,0.0000000000,0.1199430302
S1,F0,2301.7314453125,1.0067417660,1884.8280029297,323.4066772461,93.4969787598,0.0000000000,0.0000000000,0.0000000000,0.1516173184
S1,F1,2272.2133789062,0.9938310199,1872.9239501953,311.0713195801,88.2181243896,0.0000000000,0.0000000000,0.0000000000,0.1461639702
S1,F2,2303.0947265625,1.0073380441,1872.2697753906,348.5209655762,82.3041992188,0.0000000000,0.0000000000,0.0000000000,0.1416956633
S1,F3,2344.9316406250,1.0256368638,1882.4483642578,382.8109130859,79.6723632812,0.0000000000,0.0000000000,0.0000000000,0.1418612450
S1,F4,2377.0256347656,1.0396742809,1878.9881591797,422.1182861328,75.9193801880,0.0000000000,0.0000000000,0.0000000000,0.1406752616
S1,F5,2395.3110351562,1.0476720325,1883.7670898438,437.2347717285,74.3092193604,0.0000000000,0.0000000000,0.0000000000,0.1372766942
S2,F0,2343.9775390625,1.0252195545,1907.1439208984,335.7377929688,101.0958251953,0.0000000000,0.0000000000,0.0000000000,0.1198102236
S2,F1,2281.9575195312,0.9980929564,1883.4796142578,305.8044128418,92.6737823486,0.0000000000,0.0000000000,0.0000000000,0.1111396253
S2,F2,2276.5139160156,0.9957120083,1875.8707275391,314.3704833984,86.2729110718,0.0000000000,0.0000000000,0.0000000000,0.1046722382
S2,F3,2295.6340332031,1.0040748521,1880.7510986328,329.0162658691,85.8668823242,0.0000000000,0.0000000000,0.0000000000,0.0951357409
S2,F4,2339.6833496094,1.0233413424,1874.5478515625,378.7859497070,86.3495407104,0.0000000000,0.0000000000,0.0000000000,0.0964235663
S2,F5,2361.7600097656,1.0329973324,1878.5761718750,399.2708740234,83.9128417969,0.0000000000,0.0000000000,0.0000000000,0.0949227512
S3,F0,2356.8256835938,1.0308391344,1912.2855224609,341.8577880859,102.6824111938,0.0000000000,0.0000000000,0.0000000000,0.1784049869
S3,F1,2293.0983886719,1.0029658004,1897.9136962891,299.4119873047,95.7728195190,0.0000000000,0.0000000000,0.0000000000,0.1106938496
S3,F2,2280.5229492188,0.9974654975,1887.2358398438,310.9874572754,82.2995452881,0.0000000000,0.0000000000,0.0000000000,0.0941407308
S3,F3,2274.9152832031,0.9950127910,1889.0761718750,304.8512573242,80.9877090454,0.0000000000,0.0000000000,0.0000000000,0.0795159936
S3,F4,2289.8295898438,1.0015360783,1880.9020996094,330.4292297363,78.4983062744,0.0000000000,0.0000000000,0.0000000000,0.0792240947
S3,F5,2305.8300781250,1.0085344446,1883.1879882812,345.4915771484,77.1505355835,0.0000000000,0.0000000000,0.0000000000,0.0773904175
S4,F0,2466.1000976562,1.0786340745,1949.1505126953,409.6205749512,107.3289718628,0.0000000000,0.0000000000,0.0000000000,0.1433978826
S4,F1,2316.8476562500,1.0133533630,1938.4545898438,281.2884216309,97.1046752930,0.0000000000,0.0000000000,0.0000000000,0.0368544087
S4,F2,2302.6276855469,1.0071337676,1919.7855224609,294.3994140625,88.4425506592,0.0000000000,0.0000000000,0.0000000000,0.0340745077
S4,F3,2266.4482421875,0.9913094381,1914.4407958984,264.0139770508,87.9934844971,0.0000000000,0.0000000000,0.0000000000,0.0304581858
S4,F4,2264.9946289062,0.9906736502,1899.4379882812,282.5304870605,83.0262222290,0.0000000000,0.0000000000,0.0000000000,0.0439403020
S4,F5,2274.9912109375,0.9950460007,1896.9438476562,297.2761840820,80.7710723877,0.0000000000,0.0000000000,0.0000000000,0.0464225821
S5,F0,2468.8132324219,1.0798207578,1948.6683349609,412.8979187012,107.2468643188,0.0000000000,0.0000000000,0.0000000000,0.1702245027
S5,F1,2359.5224609375,1.0320186632,1941.6885986328,324.5552062988,93.2786560059,0.0000000000,0.0000000000,0.0000000000,0.0255055968
S5,F2,2348.7568359375,1.0273099451,1932.2996826172,324.8462524414,91.6108245850,0.0000000000,0.0000000000,0.0000000000,0.0207455400
S5,F3,2278.3955078125,0.9965349875,1922.6911621094,263.6741638184,92.0300140381,0.0000000000,0.0000000000,0.0000000000,0.0186135564
S5,F4,2257.2600097656,0.9872906473,1909.6373291016,260.6614379883,86.9612731934,0.0000000000,0.0000000000,0.0000000000,0.0295984354
S5,F5,2262.8586425781,0.9897394027,1905.5611572266,271.9198608398,85.3773422241,0.0000000000,0.0000000000,0.0000000000,0.0303646233
