surrogate_state,forecast_state,operating_cost,normalized_operating_cost,energy_cost,curtailment_cost,degradation,network_violation,voltage_violation,line_flow_violation,terminal_soc_deviation
S0,F0,2286.3176269531,1.0000000000,1877.2082519531,318.4102172852,90.6992568970,0.0000000000,0.0000000000,0.0000000000,0.0842692032
S0,F1,2276.1198730469,0.9955396600,1869.3564453125,321.0885925293,85.6747512817,0.0000000000,0.0000000000,0.0000000000,0.0757572353
S0,F2,2297.4860839844,1.0048849105,1868.7042236328,346.6124267578,82.1691513062,0.0000000000,0.0000000000,0.0000000000,0.0709116310
S0,F3,2355.4255371094,1.0302267320,1873.2237548828,403.7501220703,78.4518737793,0.0000000000,0.0000000000,0.0000000000,0.0613443218
S0,F4,2422.7487792969,1.0596728778,1879.0875244141,470.9155578613,72.7458801270,0.0000000000,0.0000000000,0.0000000000,0.0506724305
S0,F5,2457.8049316406,1.0750058971,1880.2158203125,507.2233276367,70.3656463623,0.0000000000,0.0000000000,0.0000000000,0.0487739518
S1,F0,2288.3398437500,1.0008844864,1885.0834960938,311.9801330566,91.2763519287,0.0000000000,0.0000000000,0.0000000000,0.1003370360
S1,F1,2269.5505371094,0.9926663340,1869.4262695312,315.5797119141,84.5445709229,0.0000000000,0.0000000000,0.0000000000,0.0907053128
S1,F2,2293.3950195312,1.0030955421,1868.2860107422,346.8608093262,78.2483901978,0.0000000000,0.0000000000,0.0000000000,0.0906260237
S1,F3,2335.5659179688,1.0215404415,1871.1542968750,391.6424560547,72.7692184448,0.0000000000,0.0000000000,0.0000000000,0.0883629099
S1,F4,2388.7724609375,1.0448121612,1872.0158691406,449.5624389648,67.1942291260,0.0000000000,0.0000000000,0.0000000000,0.0864148661
S1,F5,2459.8754882812,1.0759115266,1878.0231933594,517.7219238281,64.1302871704,0.0000000000,0.0000000000,0.0000000000,0.0885529891
S2,F0,2352.3479003906,1.0288806212,1931.1818847656,321.4343872070,99.7317428589,0.0000000000,0.0000000000,0.0000000000,0.0870440379
S2,F1,2284.2060546875,0.9990764309,1892.5484619141,301.1757812500,90.4816665649,0.0000000000,0.0000000000,0.0000000000,0.0716644004
S2,F2,2270.3723144531,0.9930257667,1877.8898925781,308.9245910645,83.5576248169,0.0000000000,0.0000000000,0.0000000000,0.0691041872
S2,F3,2283.7541503906,0.9988787750,1876.0970458984,328.6320190430,79.0251693726,0.0000000000,0.0000000000,0.0000000000,0.0667521805
S2,F4,2317.1235351562,1.0134740282,1873.0230712891,367.1568298340,76.9435577393,0.0000000000,0.0000000000,0.0000000000,0.0636575893
S2,F5,2350.4790039062,1.0280631948,1873.4404296875,402.1953430176,74.8433761597,0.0000000000,0.0000000000,0.0000000000,0.0627094656
S3,F0,2392.9428710938,1.0466362341,1950.2464599609,342.5391845703,100.1572875977,0.0000000000,0.0000000000,0.0000000000,0.0823091120
S3,F1,2317.9260253906,1.0138250250,1917.0988769531,308.1831359863,92.6438903809,0.0000000000,0.0000000000,0.0000000000,0.0640339702
S3,F2,2281.2470703125,0.9977822169,1890.1833496094,305.3469543457,85.7167663574,0.0000000000,0.0000000000,0.0000000000,0.0634776130
S3,F3,2270.3354492188,0.9930096424,1883.7143554688,305.1546020508,81.4665756226,0.0000000000,0.0000000000,0.0000000000,0.0624340624
S3,F4,2279.5737304688,0.9970503239,1876.3688964844,323.7995300293,79.4052581787,0.0000000000,0.0000000000,0.0000000000,0.0581019036
S3,F5,2309.1074218750,1.0099679041,1874.2382812500,357.2511291504,77.6179885864,0.0000000000,0.0000000000,0.0000000000,0.0570205487
S4,F0,2415.3652343750,1.0564434293,1955.1585693359,362.4051818848,97.8016281128,0.0000000000,0.0000000000,0.0000000000,0.1030192524
S4,F1,2342.1704101562,1.0244291443,1935.0954589844,313.7598876953,93.3151473999,0.0000000000,0.0000000000,0.0000000000,0.0644698665
S4,F2,2305.6276855469,1.0084459212,1907.4985351562,311.2442016602,86.8851165771,0.0000000000,0.0000000000,0.0000000000,0.0627072826
S4,F3,2283.7900390625,0.9988944721,1895.7952880859,305.2878417969,82.7070693970,0.0000000000,0.0000000000,0.0000000000,0.0613520592
S4,F4,2271.0231933594,0.9933104511,1886.1601562500,305.2199401855,79.6431579590,0.0000000000,0.0000000000,0.0000000000,0.0557927713
S4,F5,2279.0280761719,0.9968116631,1878.9836425781,322.0666503906,77.9777832031,0.0000000000,0.0000000000,0.0000000000,0.0545785241
S5,F0,2451.3972167969,1.0722032617,1969.0687255859,386.9898376465,95.3385925293,0.0000000000,0.0000000000,0.0000000000,0.1014371887
S5,F1,2374.1262207031,1.0384061220,1946.5966796875,340.2090759277,87.3204193115,0.0000000000,0.0000000000,0.0000000000,0.0817568526
S5,F2,2344.1984863281,1.0253161935,1921.3033447266,337.3927612305,85.5024032593,0.0000000000,0.0000000000,0.0000000000,0.0741364956
S5,F3,2313.5732421875,1.0119211849,1905.7204589844,324.6112365723,83.2415313721,0.0000000000,0.0000000000,0.0000000000,0.0711069182
S5,F4,2278.2216796875,0.9964589578,1894.8963623047,301.4457397461,81.8793640137,0.0000000000,0.0000000000,0.0000000000,0.0648444816
S5,F5,2275.6359863281,0.9953280155,1889.2271728516,306.2235107422,80.1853485107,0.0000000000,0.0000000000,0.0000000000,0.0605304129
