surrogate_state,forecast_state,operating_cost,normalized_operating_cost,energy_cost,curtailment_cost,degradation,network_violation,voltage_violation,line_flow_violation,terminal_soc_deviation
S0,F0,1983.0175781250,1.0000000000,1703.6520996094,149.6294708252,129.7360534668,0.0000000000,0.0000000000,0.0000000000,0.1218324229
S0,F1,1901.2081298828,0.9587449707,1626.3603515625,152.6064453125,122.2413558960,0.0000000000,0.0000000000,0.0000000000,0.1674246788
S0,F2,1910.4700927734,0.9634156116,1626.9372558594,165.6685638428,117.8643798828,0.0000000000,0.0000000000,0.0000000000,0.1658688635
S0,F3,1932.0209960938,0.9742833434,1645.3896484375,168.9573974609,117.6740722656,0.0000000000,0.0000000000,0.0000000000,0.1669601053
S0,F4,1967.5098876953,0.9921797514,1676.0588378906,170.3995056152,121.0516204834,0.0000000000,0.0000000000,0.0000000000,0.1691644043
S0,F5,1995.6392822266,1.0063648977,1705.9387207031,166.5501098633,123.1504287720,0.0000000000,0.0000000000,0.0000000000,0.1645932943
S1,F0,2045.8057861328,1.0316629609,1789.6984863281,125.3508605957,130.7563323975,0.0000000000,0.0000000000,0.0000000000,0.0641385242
S1,F1,1914.9597167969,0.9656796480,1669.4887695312,120.5079727173,124.9630966187,0.0000000000,0.0000000000,0.0000000000,0.1441671997
S1,F2,1914.4238281250,0.9654094090,1673.8375244141,119.8130493164,120.7732849121,0.0000000000,0.0000000000,0.0000000000,0.1432257742
S1,F3,1932.5240478516,0.9745370234,1681.1346435547,132.2114257812,119.1780700684,0.0000000000,0.0000000000,0.0000000000,0.1465572715
S1,F4,1971.4091796875,0.9941460940,1705.2951660156,145.6246337891,120.4894409180,0.0000000000,0.0000000000,0.0000000000,0.1486145854
S1,F5,1999.8935546875,1.0085102506,1733.5993652344,145.1879425049,121.1063003540,0.0000000000,0.0000000000,0.0000000000,0.1366255432
S2,F0,2060.6328125000,1.0391399629,1744.2554931641,177.0939788818,139.2834777832,0.0000000000,0.0000000000,0.0000000000,0.1145300418
S2,F1,1971.2900390625,0.9940860136,1696.7886962891,136.2599487305,138.2413787842,0.0000000000,0.0000000000,0.0000000000,0.1537286043
S2,F2,1895.8363037109,0.9560360557,1644.8872070312,123.9866638184,126.9625549316,0.0000000000,0.0000000000,0.0000000000,0.1738888621
S2,F3,1894.1942138672,0.9552079794,1646.2285156250,121.2422256470,126.7235488892,0.0000000000,0.0000000000,0.0000000000,0.1783865094
S2,F4,1911.7229003906,0.9640473799,1657.1048583984,126.5970306396,128.0208587646,0.0000000000,0.0000000000,0.0000000000,0.1895997524
S2,F5,1935.1168212891,0.9758445122,1673.8057861328,134.7350158691,126.5759887695,0.0000000000,0.0000000000,0.0000000000,0.1831713468
S3,F0,2111.2980957031,1.0646895514,1744.2009277344,223.0635986328,144.0336456299,0.0000000000,0.0000000000,0.0000000000,0.1325075328
S3,F1,2016.4907226562,1.0168799031,1699.1855468750,173.3642120361,143.9409637451,0.0000000000,0.0000000000,0.0000000000,0.1659175605
S3,F2,1965.4985351562,0.9911654626,1691.1198730469,133.8906250000,140.4878387451,0.0000000000,0.0000000000,0.0000000000,0.1606719345
S3,F3,1893.6429443359,0.9549299841,1642.5876464844,119.3951492310,131.6599578857,0.0000000000,0.0000000000,0.0000000000,0.1882337630
S3,F4,1885.6710205078,0.9509098867,1648.3381347656,104.9131317139,132.4198913574,0.0000000000,0.0000000000,0.0000000000,0.1951294690
S3,F5,1908.1453857422,0.9622433037,1664.9615478516,111.3723907471,131.8115692139,0.0000000000,0.0000000000,0.0000000000,0.1903393865
S4,F0,2146.0825195312,1.0822307090,1757.2434082031,243.5945129395,145.2445678711,0.0000000000,0.0000000000,0.0000000000,0.1318885684
S4,F1,2061.0380859375,1.0393443350,1721.3178710938,195.2753601074,144.4449462891,0.0000000000,0.0000000000,0.0000000000,0.1529286951
S4,F2,2018.9542236328,1.0181222022,1709.3322753906,164.2640380859,145.3578338623,0.0000000000,0.0000000000,0.0000000000,0.1559471935
S4,F3,1943.7438964844,0.9801949907,1663.2253417969,139.1962127686,141.3222656250,0.0000000000,0.0000000000,0.0000000000,0.1856853813
S4,F4,1887.7813720703,0.9519740989,1645.8422851562,107.1088027954,134.8302612305,0.0000000000,0.0000000000,0.0000000000,0.1945473254
S4,F5,1896.5969238281,0.9564196227,1660.3049316406,102.1618728638,134.1303710938,0.0000000000,0.0000000000,0.0000000000,0.1887879968
S5,F0,2201.1008300781,1.1099754507,1749.2976074219,303.7725524902,148.0305328369,0.0000000000,0.0000000000,0.0000000000,0.1504565030
S5,F1,2106.1816406250,1.0621094154,1713.6756591797,245.1103973389,147.3955535889,0.0000000000,0.0000000000,0.0000000000,0.1682380438
S5,F2,2062.9296875000,1.0402982355,1702.9213867188,211.3676300049,148.6407928467,0.0000000000,0.0000000000,0.0000000000,0.1690602005
S5,F3,1987.4444580078,1.0022323957,1662.7777099609,178.9797973633,145.6871795654,0.0000000000,0.0000000000,0.0000000000,0.1924037337
S5,F4,1914.6987304688,0.9655480373,1640.5704345703,134.5147552490,139.6137542725,0.0000000000,0.0000000000,0.0000000000,0.2019725889
S5,F5,1889.4101562500,0.9527954654,1642.2669677734,110.7190475464,136.4243011475,0.0000000000,0.0000000000,0.0000000000,0.1993388534
