surrogate_state,forecast_state,mean_normalized_operating_cost,std_normalized_operating_cost,mean_operating_cost
S0,F0,1.0000000000,0.0000000000,2219.1027343750
S0,F1,0.9986485008,0.0059812598,2216.0357910156
S0,F2,1.0148029724,0.0117690952,2251.6395996094
S0,F3,1.0542896947,0.0279814109,2339.0087890625
S0,F4,1.0735546001,0.0349894875,2381.8323242187
S0,F5,1.0846076928,0.0477913593,2406.3678710938
S1,F0,1.0087186638,0.0070723765,2238.3985839844
S1,F1,0.9958770260,0.0036321063,2209.9245117188
S1,F2,1.0109767524,0.0054333883,2243.4145996094
S1,F3,1.0348254822,0.0160134805,2296.1853027344
S1,F4,1.0501396643,0.0212947983,2330.1634765625
S1,F5,1.0581170645,0.0172795357,2347.9144042969
S2,F0,1.0396988327,0.0270661735,2307.1545410156
S2,F1,1.0034073886,0.0055868373,2226.5418945312
S2,F2,0.9958726465,0.0035500311,2209.9400390625
S2,F3,1.0071633814,0.0045083826,2234.9606445313
S2,F4,1.0298454052,0.0237873978,2285.4091308594
S2,F5,1.0428669237,0.0354483441,2314.3759277344
S3,F0,1.0625268936,0.0336542894,2357.5381347656
S3,F1,1.0167375171,0.0105859304,2256.0510253906
S3,F2,1.0025423968,0.0032557636,2224.6666992188
S3,F3,0.9948080649,0.0026632665,2207.5930175781
S3,F4,1.0058800334,0.0154021109,2232.2150390625
S3,F5,1.0197540625,0.0336585459,2263.0471679687
S4,F0,1.0890083678,0.0502558874,2416.7890625000
S4,F1,1.0345364112,0.0191256383,2295.3712402344
S4,F2,1.0156951940,0.0070337782,2253.7938476562
S4,F3,0.9983816475,0.0052641619,2215.4234863281
S4,F4,0.9932548221,0.0038128855,2204.1117187500
S4,F5,0.9975412916,0.0063385648,2213.6553222656
S5,F0,1.1108203174,0.0769695599,2465.1072753906
S5,F1,1.0512308907,0.0201378081,2332.5075683594
S5,F2,1.0326121178,0.0080838454,2291.3897949219
S5,F3,1.0088411271,0.0099744773,2238.5777832031
S5,F4,0.9967030976,0.0071464704,2211.6584960937
S5,F5,0.9938065510,0.0041730732,2205.3135742188
