surrogate_state,forecast_state,operating_cost,normalized_operating_cost,energy_cost,curtailment_cost,degradation,network_violation,voltage_violation,line_flow_violation,terminal_soc_deviation
S0,F0,2286.3176269531,1.0000000000,1877.2082519531,318.4102172852,90.6992568970,0.0000000000,0.0000000000,0.0000000000,0.0842692032
S0,F1,2274.3691406250,0.9947739167,1874.7661132812,311.4951477051,88.1077194214,0.0000000000,0.0000000000,0.0000000000,0.0832340047
S0,F2,2279.3317871094,0.9969445016,1873.1892089844,318.8836364746,87.2589263916,0.0000000000,0.0000000000,0.0000000000,0.0825345665
S0,F3,2301.8845214844,1.0068087191,1876.4938964844,341.3158569336,84.0745010376,0.0000000000,0.0000000000,0.0000000000,0.0809044465
S0,F4,2340.8747558594,1.0238624451,1879.2170410156,380.1781921387,81.4795761108,0.0000000000,0.0000000000,0.0000000000,0.0816250518
S0,F5,2392.4418945312,1.0464171147,1881.6585693359,433.2077331543,77.5757598877,0.0000000000,0.0000000000,0.0000000000,0.0795899257
S1,F0,2291.6394042969,1.0023276632,1881.0825195312,319.7710266113,90.7859115601,0.0000000000,0.0000000000,0.0000000000,0.0944597647
S1,F1,2270.7026367188,0.9931702446,1872.6378173828,311.2415771484,86.8234100342,0.0000000000,0.0000000000,0.0000000000,0.0941404775
S1,F2,2270.4953613281,0.9930795855,1870.0518798828,314.6876831055,85.7560043335,0.0000000000,0.0000000000,0.0000000000,0.0948333964
S1,F3,2287.1970214844,1.0003846336,1871.5478515625,332.7831420898,82.8661270142,0.0000000000,0.0000000000,0.0000000000,0.0924885795
S1,F4,2320.1801757812,1.0148109556,1872.6018066406,367.5007629395,80.0776519775,0.0000000000,0.0000000000,0.0000000000,0.0920120925
S1,F5,2358.4426269531,1.0315463605,1873.5765380859,408.4233093262,76.4427032471,0.0000000000,0.0000000000,0.0000000000,0.0907036364
S2,F0,2325.2666015625,1.0170356796,1900.7469482422,329.5432128906,94.9763717651,0.0000000000,0.0000000000,0.0000000000,0.0658129379
S2,F1,2280.8813476562,0.9976222554,1876.9987792969,316.0640869141,87.8184432983,0.0000000000,0.0000000000,0.0000000000,0.0746648461
S2,F2,2270.8100585938,0.9932172292,1871.5311279297,312.2484436035,87.0304565430,0.0000000000,0.0000000000,0.0000000000,0.0740338787
S2,F3,2279.6748046875,0.9970945322,1870.6835937500,325.4430541992,83.5483169556,0.0000000000,0.0000000000,0.0000000000,0.0718926862
S2,F4,2296.0163574219,1.0042420748,1870.3649902344,343.5813903809,82.0700683594,0.0000000000,0.0000000000,0.0000000000,0.0722052008
S2,F5,2314.1247558594,1.0121624085,1869.7669677734,365.6601257324,78.6978073120,0.0000000000,0.0000000000,0.0000000000,0.0712192431
S3,F0,2401.3464355469,1.0503118234,1938.0543212891,363.5688171387,99.7233047485,0.0000000000,0.0000000000,0.0000000000,0.0568681657
S3,F1,2309.2712402344,1.0100395558,1895.5042724609,323.7699279785,89.9971771240,0.0000000000,0.0000000000,0.0000000000,0.0676727220
S3,F2,2283.3557128906,0.9987045046,1882.9493408203,311.1370239258,89.2692871094,0.0000000000,0.0000000000,0.0000000000,0.0687636212
S3,F3,2267.3889160156,0.9917208743,1874.2009277344,307.9764709473,85.2115097046,0.0000000000,0.0000000000,0.0000000000,0.0662586316
S3,F4,2275.1953125000,0.9951352715,1872.9061279297,317.4601440430,84.8291625977,0.0000000000,0.0000000000,0.0000000000,0.0651614890
S3,F5,2286.3347167969,1.0000074748,1871.9454345703,332.8107604980,81.5785217285,0.0000000000,0.0000000000,0.0000000000,0.0639523938
S4,F0,2491.2233886719,1.0896226138,2001.1894531250,390.0059509277,100.0278396606,0.0000000000,0.0000000000,0.0000000000,0.0320528038
S4,F1,2362.6940917969,1.0334058855,1931.0319824219,338.3993835449,93.2627258301,0.0000000000,0.0000000000,0.0000000000,0.0619728640
S4,F2,2319.0249023438,1.0143056568,1907.2158203125,319.2895812988,92.5195007324,0.0000000000,0.0000000000,0.0000000000,0.0682682544
S4,F3,2273.5600585938,0.9944200367,1882.1389160156,305.7991943359,85.6218261719,0.0000000000,0.0000000000,0.0000000000,0.0700539276
S4,F4,2268.6047363281,0.9922526554,1874.7657470703,310.3083496094,83.5306396484,0.0000000000,0.0000000000,0.0000000000,0.0698749274
S4,F5,2274.0646972656,0.9946407579,1873.9414062500,318.4662170410,81.6568984985,0.0000000000,0.0000000000,0.0000000000,0.0690294206
S5,F0,2539.1870117188,1.1106011614,2018.1005859375,419.8314819336,101.2546844482,0.0000000000,0.0000000000,0.0000000000,0.0323893912
S5,F1,2404.3696289062,1.0516341214,1952.1190185547,354.5820617676,97.6682739258,0.0000000000,0.0000000000,0.0000000000,0.0577526577
S5,F2,2343.5307617188,1.0250241410,1920.5722656250,327.2415161133,95.7170333862,0.0000000000,0.0000000000,0.0000000000,0.0660697967
S5,F3,2279.3847656250,0.9969676736,1887.8210449219,305.0181884766,86.5455245972,0.0000000000,0.0000000000,0.0000000000,0.0682584420
S5,F4,2272.3508300781,0.9938911389,1879.2951660156,307.5273132324,85.5283126831,0.0000000000,0.0000000000,0.0000000000,0.0688575730
S5,F5,2273.0283203125,0.9941874626,1876.4865722656,313.4408874512,83.1007614136,0.0000000000,0.0000000000,0.0000000000,0.0672774389
