surrogate_state,forecast_state,operating_cost,normalized_operating_cost,energy_cost,curtailment_cost,degradation,network_violation,voltage_violation,line_flow_violation,terminal_soc_deviation
S0,F0,2194.1560058594,1.0000000000,1806.5670166016,296.2218322754,91.3670959473,0.0000000000,0.0000000000,0.0000000000,0.1537117213
S0,F1,2176.8476562500,0.9921116140,1802.0301513672,286.5848999023,88.2325668335,0.0000000000,0.0000000000,0.0000000000,0.1455050707
S0,F2,2220.5239257812,1.0120173405,1799.3813476562,338.6718444824,82.4707107544,0.0000000000,0.0000000000,0.0000000000,0.1359630525
S0,F3,2392.6247558594,1.0904533449,1813.1968994141,507.2805175781,72.1472930908,0.0000000000,0.0000000000,0.0000000000,0.1067999676
S0,F4,2424.8332519531,1.1051325637,1822.6628417969,529.3577270508,72.8125762939,0.0000000000,0.0000000000,0.0000000000,0.0902950168
S0,F5,2385.4260253906,1.0871724795,1823.7163085938,486.2933654785,75.4164276123,0.0000000000,0.0000000000,0.0000000000,0.0962688327
S1,F0,2194.9348144531,1.0003549468,1814.3957519531,288.6454772949,91.8936004639,0.0000000000,0.0000000000,0.0000000000,0.1529559791
S1,F1,2175.9167480469,0.9916873469,1804.0498046875,283.2271728516,88.6397094727,0.0000000000,0.0000000000,0.0000000000,0.1503944546
S1,F2,2204.0329589844,1.0045014817,1799.6707763672,320.7671203613,83.5950469971,0.0000000000,0.0000000000,0.0000000000,0.1396734118
S1,F3,2332.3120117188,1.0629654434,1808.9511718750,449.3649902344,73.9958114624,0.0000000000,0.0000000000,0.0000000000,0.1099935025
S1,F4,2380.6386718750,1.0849906139,1816.5297851562,491.3923645020,72.7166366577,0.0000000000,0.0000000000,0.0000000000,0.1076461449
S1,F5,2345.9199218750,1.0691673316,1817.0594482422,454.5436401367,74.3168334961,0.0000000000,0.0000000000,0.0000000000,0.1250192523
S2,F0,2248.5673828125,1.0247983174,1852.2939453125,297.0076599121,99.2657165527,0.0000000000,0.0000000000,0.0000000000,0.1398008615
S2,F1,2220.3911132812,1.0119568104,1837.4437255859,286.5410461426,96.4061965942,0.0000000000,0.0000000000,0.0000000000,0.1253833473
S2,F2,2177.0761718750,0.9922157614,1810.9652099609,277.0808715820,89.0300140381,0.0000000000,0.0000000000,0.0000000000,0.1128925160
S2,F3,2221.7702636719,1.0125853666,1807.4542236328,332.8166809082,81.4991836548,0.0000000000,0.0000000000,0.0000000000,0.1027050093
S2,F4,2265.5314941406,1.0325298147,1806.4201660156,377.0975646973,82.0135498047,0.0000000000,0.0000000000,0.0000000000,0.1113292947
S2,F5,2250.0478515625,1.0254730500,1812.4320068359,352.8463439941,84.7697219849,0.0000000000,0.0000000000,0.0000000000,0.1149371192
S3,F0,2297.1596679688,1.0469445481,1879.9210205078,316.1608276367,101.0779647827,0.0000000000,0.0000000000,0.0000000000,0.1264721453
S3,F1,2230.4509277344,1.0165416323,1854.8100585938,273.6887817383,101.9519805908,0.0000000000,0.0000000000,0.0000000000,0.1200376824
S3,F2,2196.7429199219,1.0011790019,1831.1317138672,273.7929687500,91.8180236816,0.0000000000,0.0000000000,0.0000000000,0.1049915701
S3,F3,2180.7810058594,0.9939042621,1822.6380615234,271.7611694336,86.3819351196,0.0000000000,0.0000000000,0.0000000000,0.0898526162
S3,F4,2192.0168457031,0.9990250647,1817.4428710938,285.6678161621,88.9059143066,0.0000000000,0.0000000000,0.0000000000,0.1009465232
S3,F5,2195.2919921875,1.0005177327,1823.0675048828,282.4662475586,89.7582855225,0.0000000000,0.0000000000,0.0000000000,0.1044782996
S4,F0,2374.0346679688,1.0819807988,1900.8454589844,364.8855895996,108.3038864136,0.0000000000,0.0000000000,0.0000000000,0.1519894451
S4,F1,2306.4094238281,1.0511601808,1879.6090087891,302.1691284180,124.6312103271,0.0000000000,0.0000000000,0.0000000000,0.0746979192
S4,F2,2231.6928710938,1.0171076556,1869.0012207031,268.3564147949,94.3354339600,0.0000000000,0.0000000000,0.0000000000,0.0169276278
S4,F3,2192.3452148438,0.9991747209,1853.4963378906,246.9303741455,91.9185409546,0.0000000000,0.0000000000,0.0000000000,0.0146268029
S4,F4,2170.3886718750,0.9891678924,1842.4283447266,239.9882202148,87.9719314575,0.0000000000,0.0000000000,0.0000000000,0.0188279450
S4,F5,2173.2685546875,0.9904804166,1843.3829345703,242.1620025635,87.7234954834,0.0000000000,0.0000000000,0.0000000000,0.0180751551
S5,F0,2385.1520996094,1.0870476362,1898.7700195312,378.4209289551,107.9613723755,0.0000000000,0.0000000000,0.0000000000,0.1609747857
S5,F1,2326.0004882812,1.0600889281,1889.7302246094,321.4270629883,114.8431091309,0.0000000000,0.0000000000,0.0000000000,0.0557776019
S5,F2,2272.7893066406,1.0358376071,1880.8626708984,296.7387695312,95.1879348755,0.0000000000,0.0000000000,0.0000000000,0.0159219932
S5,F3,2218.2133789062,1.0109642947,1861.0170898438,264.1987915039,92.9977035522,0.0000000000,0.0000000000,0.0000000000,0.0159704704
S5,F4,2177.9482421875,0.9926132127,1848.4749755859,239.7908020020,89.6823425293,0.0000000000,0.0000000000,0.0000000000,0.0200213697
S5,F5,2172.7253417969,0.9902328440,1846.3248291016,238.0359802246,88.3646545410,0.0000000000,0.0000000000,0.0000000000,0.0201979782
