surrogate_state,forecast_state,operating_cost,normalized_operating_cost,energy_cost,curtailment_cost,degradation,network_violation,voltage_violation,line_flow_violation,terminal_soc_deviation
S0,F0,1983.0175781250,1.0000000000,1703.6520996094,149.6294708252,129.7360534668,0.0000000000,0.0000000000,0.0000000000,0.1218324229
S0,F1,1897.0067138672,0.9566262724,1583.9614257812,197.9244689941,115.1207504272,0.0000000000,0.0000000000,0.0000000000,0.1805571765
S0,F2,2117.5830078125,1.0678589192,1595.2862548828,417.6273498535,104.6693038940,0.0000000000,0.0000000000,0.0000000000,0.1617839485
S0,F3,2365.2895507812,1.1927728614,1639.1684570312,627.1736450195,98.9475708008,0.0000000000,0.0000000000,0.0000000000,0.1749524176
S0,F4,2340.7868652344,1.1804165990,1669.3843994141,573.0779418945,98.3244476318,0.0000000000,0.0000000000,0.0000000000,0.1779332161
S0,F5,2275.1132812500,1.1472985950,1686.2886962891,489.3426513672,99.4818878174,0.0000000000,0.0000000000,0.0000000000,0.1757878065
S1,F0,2023.3767089844,1.0203523818,1761.7017822266,129.6535186768,132.0214080811,0.0000000000,0.0000000000,0.0000000000,0.0847961977
S1,F1,1851.2033691406,0.9335284717,1602.0583496094,129.2733459473,119.8716278076,0.0000000000,0.0000000000,0.0000000000,0.1884297132
S1,F2,2016.8546142578,1.0170634071,1594.2609863281,317.7979736328,104.7957916260,0.0000000000,0.0000000000,0.0000000000,0.1717880666
S1,F3,2233.6054687500,1.1263669538,1614.9652099609,521.6208496094,97.0195693970,0.0000000000,0.0000000000,0.0000000000,0.1999410838
S1,F4,2220.2949218750,1.1196546850,1641.9710693359,481.9684753418,96.3552627563,0.0000000000,0.0000000000,0.0000000000,0.2148147225
S1,F5,2166.3564453125,1.0924544841,1663.5196533203,401.8897094727,100.9470748901,0.0000000000,0.0000000000,0.0000000000,0.1965599507
S2,F0,2081.4606933594,1.0496430875,1805.9713134766,136.0456237793,139.4438476562,0.0000000000,0.0000000000,0.0000000000,0.0706423670
S2,F1,1920.9615478516,0.9687062631,1651.7685546875,129.9267120361,139.2663726807,0.0000000000,0.0000000000,0.0000000000,0.1991693974
S2,F2,1848.4564208984,0.9321432353,1593.7685546875,132.3038940430,122.3839874268,0.0000000000,0.0000000000,0.0000000000,0.2088785619
S2,F3,1891.7572021484,0.9539790383,1582.7908935547,199.7241973877,109.2421951294,0.0000000000,0.0000000000,0.0000000000,0.2122810930
S2,F4,1915.2308349609,0.9658163680,1606.9656982422,193.4837646484,114.7813720703,0.0000000000,0.0000000000,0.0000000000,0.2141770571
S2,F5,1952.9057617188,0.9848151541,1624.8923339844,211.7762451172,116.2369689941,0.0000000000,0.0000000000,0.0000000000,0.2156355679
S3,F0,2139.9934082031,1.0791600800,1850.1563720703,150.6165008545,139.2204132080,0.0000000000,0.0000000000,0.0000000000,0.0462669916
S3,F1,2008.0092773438,1.0126028632,1704.4631347656,158.6026153564,144.9434814453,0.0000000000,0.0000000000,0.0000000000,0.1721399575
S3,F2,1939.7860107422,0.9781991003,1671.2097167969,130.5338287354,138.0424041748,0.0000000000,0.0000000000,0.0000000000,0.1837155074
S3,F3,1846.9713134766,0.9313943224,1606.0214843750,117.2382736206,123.7116394043,0.0000000000,0.0000000000,0.0000000000,0.2020069063
S3,F4,1883.2600097656,0.9496940575,1618.5712890625,141.7473907471,122.9413299561,0.0000000000,0.0000000000,0.0000000000,0.2049044520
S3,F5,1912.2176513672,0.9642968738,1627.7200927734,160.8330535889,123.6643600464,0.0000000000,0.0000000000,0.0000000000,0.2099116594
S4,F0,2180.0566406250,1.0993632455,1864.6440429688,177.6413116455,137.7714996338,0.0000000000,0.0000000000,0.0000000000,0.0403771922
S4,F1,2063.8112792969,1.0407428063,1724.2027587891,192.7472991943,146.8611602783,0.0000000000,0.0000000000,0.0000000000,0.1696207225
S4,F2,2030.4625244141,1.0239256307,1715.3077392578,170.5382080078,144.6164398193,0.0000000000,0.0000000000,0.0000000000,0.1676876396
S4,F3,1919.6866455078,0.9680633529,1656.1997070312,124.7252349854,138.7617187500,0.0000000000,0.0000000000,0.0000000000,0.1933699399
S4,F4,1868.6827392578,0.9423430028,1622.9302978516,113.8522796631,131.9000244141,0.0000000000,0.0000000000,0.0000000000,0.2054629475
S4,F5,1880.1137695312,0.9481074652,1633.0976562500,114.6318283081,132.3841705322,0.0000000000,0.0000000000,0.0000000000,0.2080063969
S5,F0,2206.1542968750,1.1125238229,1876.6885986328,191.3556365967,138.1099853516,0.0000000000,0.0000000000,0.0000000000,0.0361930504
S5,F1,2092.4692382812,1.0551944982,1724.0179443359,221.5671691895,146.8841094971,0.0000000000,0.0000000000,0.0000000000,0.1714637130
S5,F2,2069.8576660156,1.0437918901,1710.5397949219,214.9815216064,144.3362579346,0.0000000000,0.0000000000,0.0000000000,0.1710269451
S5,F3,1961.4418945312,0.9891197719,1665.4128417969,157.1607208252,138.8684082031,0.0000000000,0.0000000000,0.0000000000,0.1875790060
S5,F4,1900.5670166016,0.9584216689,1643.4790039062,121.1609191895,135.9271850586,0.0000000000,0.0000000000,0.0000000000,0.1978541315
S5,F5,1870.7677001953,0.9433944110,1628.5664062500,108.2662506104,133.9349975586,0.0000000000,0.0000000000,0.0000000000,0.2060638070
