surrogate_state,forecast_state,operating_cost,normalized_operating_cost,energy_cost,curtailment_cost,degradation,network_violation,voltage_violation,line_flow_violation,terminal_soc_deviation
S0,F0,1983.0175781250,1.0000000000,1703.6520996094,149.6294708252,129.7360534668,0.0000000000,0.0000000000,0.0000000000,0.1218324229
S0,F1,1920.7536621094,0.9686014301,1616.2130126953,192.0409545898,112.4996414185,0.0000000000,0.0000000000,0.0000000000,0.1744060963
S0,F2,2035.8547363281,1.0266448259,1635.9660644531,293.8256225586,106.0631408691,0.0000000000,0.0000000000,0.0000000000,0.1629531831
S0,F3,2132.0910644531,1.0751750705,1679.1198730469,353.2661437988,99.7051544189,0.0000000000,0.0000000000,0.0000000000,0.1755435914
S0,F4,2191.0366210938,1.1049002516,1718.3499755859,373.1996154785,99.4870910645,0.0000000000,0.0000000000,0.0000000000,0.1629026979
S0,F5,2109.7905273438,1.0639293119,1743.4210205078,264.0391235352,102.3304672241,0.0000000000,0.0000000000,0.0000000000,0.1624322534
S1,F0,2054.8647460938,1.0362312310,1770.4324951172,142.9876403809,141.4446105957,0.0000000000,0.0000000000,0.0000000000,0.0974109024
S1,F1,1866.7597656250,0.9413732819,1629.5307617188,111.9844818115,125.2444000244,0.0000000000,0.0000000000,0.0000000000,0.1854072362
S1,F2,1881.9792480469,0.9490481924,1636.2731933594,127.8849639893,117.8213882446,0.0000000000,0.0000000000,0.0000000000,0.1747283787
S1,F3,1937.6759033203,0.9771350112,1669.9777832031,159.9888000488,107.7093963623,0.0000000000,0.0000000000,0.0000000000,0.1638333201
S1,F4,2005.7308349609,1.0114538858,1679.3878173828,221.4020996094,104.9409332275,0.0000000000,0.0000000000,0.0000000000,0.1693031937
S1,F5,2006.3684082031,1.0117754025,1720.4814453125,173.4043121338,112.4827728271,0.0000000000,0.0000000000,0.0000000000,0.1634889543
S2,F0,2120.5212402344,1.0693406169,1783.0032958984,190.8325805664,146.6855316162,0.0000000000,0.0000000000,0.0000000000,0.1071600020
S2,F1,1971.8405761719,0.9943636395,1689.0545654297,137.5352172852,145.2506408691,0.0000000000,0.0000000000,0.0000000000,0.1754531115
S2,F2,1857.2899169922,0.9365978080,1614.5329589844,115.7037734985,127.0532989502,0.0000000000,0.0000000000,0.0000000000,0.2001511008
S2,F3,1875.0081787109,0.9455328079,1640.8488769531,115.3060607910,118.8532028198,0.0000000000,0.0000000000,0.0000000000,0.1802194715
S2,F4,1899.0880126953,0.9576758339,1639.8319091797,144.3501892090,114.9058914185,0.0000000000,0.0000000000,0.0000000000,0.1840583682
S2,F5,1935.7408447266,0.9761591960,1672.1269531250,141.2645721436,122.3493728638,0.0000000000,0.0000000000,0.0000000000,0.1873546094
S3,F0,2245.2014160156,1.1322145808,1827.9307861328,272.1301269531,145.1405639648,0.0000000000,0.0000000000,0.0000000000,0.0892080888
S3,F1,2098.9770507812,1.0584762707,1725.2615966797,225.5759277344,148.1396789551,0.0000000000,0.0000000000,0.0000000000,0.1664202362
S3,F2,1995.3834228516,1.0062358725,1680.7448730469,165.5473937988,149.0912017822,0.0000000000,0.0000000000,0.0000000000,0.1862207204
S3,F3,1866.2933349609,0.9411380693,1633.2749023438,102.8086318970,130.2099151611,0.0000000000,0.0000000000,0.0000000000,0.1952711940
S3,F4,1870.2145996094,0.9431154924,1622.3786621094,124.8211898804,123.0147705078,0.0000000000,0.0000000000,0.0000000000,0.1979642510
S3,F5,1907.4428710938,0.9618890383,1655.6950683594,122.3472595215,129.4004058838,0.0000000000,0.0000000000,0.0000000000,0.1963073015
S4,F0,2419.5793457031,1.2201502258,1883.8347167969,395.4030761719,140.3415985107,0.0000000000,0.0000000000,0.0000000000,0.0624536686
S4,F1,2273.4104003906,1.1464398629,1773.9582519531,353.8233642578,145.6289215088,0.0000000000,0.0000000000,0.0000000000,0.1397043169
S4,F2,2187.6186523438,1.1031766317,1745.7314453125,294.3217468262,147.5654602051,0.0000000000,0.0000000000,0.0000000000,0.1562574506
S4,F3,1965.7606201172,0.9912976273,1674.2243652344,149.5911254883,141.9450073242,0.0000000000,0.0000000000,0.0000000000,0.1842736155
S4,F4,1872.9149169922,0.9444772137,1633.9545898438,106.1896896362,132.7705535889,0.0000000000,0.0000000000,0.0000000000,0.1978330314
S4,F5,1895.0195312500,0.9556241720,1652.6280517578,107.1588973999,135.2324523926,0.0000000000,0.0000000000,0.0000000000,0.1969185024
S5,F0,2583.2202148438,1.3026713648,1942.2213134766,501.4316711426,139.5672760010,0.0000000000,0.0000000000,0.0000000000,0.0363069549
S5,F1,2424.9721679688,1.2228697288,1820.8286132812,459.4515380859,144.6920013428,0.0000000000,0.0000000000,0.0000000000,0.1139835343
S5,F2,2344.1381835938,1.1821066084,1793.2272949219,405.3562622070,145.5546722412,0.0000000000,0.0000000000,0.0000000000,0.1319988668
S5,F3,2141.6423339844,1.0799916035,1736.2822265625,258.7341613770,146.6260223389,0.0000000000,0.0000000000,0.0000000000,0.1589245647
S5,F4,1970.6691894531,0.9937729303,1678.4437255859,150.4519195557,141.7735137939,0.0000000000,0.0000000000,0.0000000000,0.1827227771
S5,F5,1904.8176269531,0.9605651750,1663.6550292969,101.9510650635,139.2116394043,0.0000000000,0.0000000000,0.0000000000,0.1911322474
