surrogate_state,forecast_state,operating_cost,normalized_operating_cost,energy_cost,curtailment_cost,degradation,network_violation,voltage_violation,line_flow_violation,terminal_soc_deviation
S0,F0,1983.0175781250,1.0000000000,1703.6520996094,149.6294708252,129.7360534668,0.0000000000,0.0000000000,0.0000000000,0.1218324229
S0,F1,1897.8795166016,0.9570664111,1603.1372070312,178.6196594238,116.1229782104,0.0000000000,0.0000000000,0.0000000000,0.1770900190
S0,F2,1986.3338623047,1.0016723423,1615.9405517578,262.4263610840,107.9669799805,0.0000000000,0.0000000000,0.0000000000,0.1657261103
S0,F3,2109.4218750000,1.0637434072,1639.9735107422,365.7182312012,103.7303009033,0.0000000000,0.0000000000,0.0000000000,0.1716575027
S0,F4,2024.6672363281,1.0210031715,1672.8653564453,240.3367614746,111.4649963379,0.0000000000,0.0000000000,0.0000000000,0.1584287733
S0,F5,2033.1661376953,1.0252890141,1701.0421142578,220.2178344727,111.9062423706,0.0000000000,0.0000000000,0.0000000000,0.1606606096
S1,F0,2045.8057861328,1.0316629609,1789.6984863281,125.3508605957,130.7563323975,0.0000000000,0.0000000000,0.0000000000,0.0641385242
S1,F1,1887.6043701172,0.9518848400,1641.0019531250,128.2333831787,118.3690567017,0.0000000000,0.0000000000,0.0000000000,0.1587655246
S1,F2,1921.8531494141,0.9691558817,1644.6854248047,167.6860504150,109.4819335938,0.0000000000,0.0000000000,0.0000000000,0.1534971446
S1,F3,2002.2069091797,1.0096768336,1635.2155761719,263.5921936035,103.3989868164,0.0000000000,0.0000000000,0.0000000000,0.1704652607
S1,F4,1992.6512451172,1.0048580845,1679.9510498047,200.2084655762,112.4917297363,0.0000000000,0.0000000000,0.0000000000,0.1542284191
S1,F5,2015.9051513672,1.0165846100,1705.5601806641,196.7513580322,113.5934677124,0.0000000000,0.0000000000,0.0000000000,0.1527695060
S2,F0,2117.8298339844,1.0679833892,1826.8892822266,151.4415893555,139.4988250732,0.0000000000,0.0000000000,0.0000000000,0.0711459965
S2,F1,1983.1691894531,1.0000764549,1714.5454101562,131.8637542725,136.7600708008,0.0000000000,0.0000000000,0.0000000000,0.1456809044
S2,F2,1848.1134033203,0.9319702577,1603.7010498047,121.5730590820,122.8393478394,0.0000000000,0.0000000000,0.0000000000,0.2005552351
S2,F3,1892.8114013672,0.9545106520,1600.5081787109,175.5568237305,116.7463989258,0.0000000000,0.0000000000,0.0000000000,0.2055443376
S2,F4,1944.1125488281,0.9803808954,1638.9926757812,180.4564819336,124.6632156372,0.0000000000,0.0000000000,0.0000000000,0.2013253868
S2,F5,1979.8460693359,0.9984006653,1670.0073242188,186.1594848633,123.6791458130,0.0000000000,0.0000000000,0.0000000000,0.1889042109
S3,F0,2169.0837402344,1.0938298098,1852.7996826172,177.2631072998,139.0210113525,0.0000000000,0.0000000000,0.0000000000,0.0497652367
S3,F1,2083.0832519531,1.0504613146,1767.6219482422,173.4005737305,142.0606994629,0.0000000000,0.0000000000,0.0000000000,0.1233436614
S3,F2,1947.1072998047,0.9818910943,1677.5405273438,130.9313964844,138.6353302002,0.0000000000,0.0000000000,0.0000000000,0.1803290695
S3,F3,1864.2695312500,0.9401175016,1623.5347900391,110.6059722900,130.1289215088,0.0000000000,0.0000000000,0.0000000000,0.2017693520
S3,F4,1889.0201416016,0.9525987880,1643.6131591797,115.0256271362,130.3813323975,0.0000000000,0.0000000000,0.0000000000,0.2018001229
S3,F5,1913.8555908203,0.9651228572,1665.3176269531,118.2221527100,130.3158874512,0.0000000000,0.0000000000,0.0000000000,0.1960262507
S4,F0,2210.8083496094,1.1148707777,1868.7725830078,203.6139526367,138.4217376709,0.0000000000,0.0000000000,0.0000000000,0.0432332382
S4,F1,2130.2453613281,1.0742443157,1787.4781494141,199.8358001709,142.9313659668,0.0000000000,0.0000000000,0.0000000000,0.1161932573
S4,F2,2024.1837158203,1.0207593408,1711.7945556641,168.6579132080,143.7312927246,0.0000000000,0.0000000000,0.0000000000,0.1714321971
S4,F3,1928.0804443359,0.9722961942,1665.3917236328,123.1871948242,139.5013885498,0.0000000000,0.0000000000,0.0000000000,0.1893128008
S4,F4,1884.6372070312,0.9503885532,1647.2316894531,99.8950042725,137.5104064941,0.0000000000,0.0000000000,0.0000000000,0.2023980618
S4,F5,1902.6617431641,0.9594780017,1667.9754638672,96.9064025879,137.7798461914,0.0000000000,0.0000000000,0.0000000000,0.1967019737
S5,F0,2232.6291503906,1.1258746140,1852.9536132812,239.5256805420,140.1498260498,0.0000000000,0.0000000000,0.0000000000,0.0607898757
S5,F1,2149.6040039062,1.0840065301,1767.5966796875,236.3326416016,145.6747283936,0.0000000000,0.0000000000,0.0000000000,0.1340482384
S5,F2,2063.0256347656,1.0403466200,1701.5932617188,216.7812194824,144.6511840820,0.0000000000,0.0000000000,0.0000000000,0.1805600673
S5,F3,1987.7757568359,1.0023994637,1673.1282958984,175.3418121338,139.3055877686,0.0000000000,0.0000000000,0.0000000000,0.1842241436
S5,F4,1919.2639160156,0.9678501780,1651.7635498047,127.7681121826,139.7322387695,0.0000000000,0.0000000000,0.0000000000,0.1973586529
S5,F5,1877.8513183594,0.9469665519,1640.5858154297,100.0865859985,137.1789703369,0.0000000000,0.0000000000,0.0000000000,0.2034618855
