surrogate_state,forecast_state,operating_cost,normalized_operating_cost,energy_cost,curtailment_cost,degradation,network_violation,voltage_violation,line_flow_violation,terminal_soc_deviation
S0,F0,1983.0175781250,1.0000000000,1703.6520996094,149.6294708252,129.7360534668,0.0000000000,0.0000000000,0.0000000000,0.1218324229
S0,F1,1870.7045898438,0.9433625856,1606.6652832031,146.1752319336,117.8643569946,0.0000000000,0.0000000000,0.0000000000,0.1815314740
S0,F2,1909.3607177734,0.9628561738,1614.7547607422,181.4250793457,113.1809616089,0.0000000000,0.0000000000,0.0000000000,0.1685318351
S0,F3,2098.8354492188,1.0584048636,1609.3775634766,383.0170593262,106.4405136108,0.0000000000,0.0000000000,0.0000000000,0.1623193920
S0,F4,2045.7237548828,1.0316215940,1639.2064208984,295.9777832031,110.5396499634,0.0000000000,0.0000000000,0.0000000000,0.1635271758
S0,F5,2090.6340332031,1.0542690374,1658.0863037109,323.8728637695,108.6750564575,0.0000000000,0.0000000000,0.0000000000,0.1644648612
S1,F0,2022.0531005859,1.0196849100,1762.4326171875,127.7134933472,131.9068756104,0.0000000000,0.0000000000,0.0000000000,0.0857511759
S1,F1,1871.5670166016,0.9437974919,1636.4649658203,112.2239608765,122.8781280518,0.0000000000,0.0000000000,0.0000000000,0.1753569096
S1,F2,1904.0555419922,0.9601808693,1652.7131347656,135.3517303467,115.9906311035,0.0000000000,0.0000000000,0.0000000000,0.1564393342
S1,F3,1993.6325683594,1.0053529481,1615.2639160156,270.9176940918,107.4511337280,0.0000000000,0.0000000000,0.0000000000,0.1684696078
S1,F4,1982.5771484375,0.9997778993,1648.1253662109,222.6780548096,111.7738189697,0.0000000000,0.0000000000,0.0000000000,0.1669352800
S1,F5,2004.9394531250,1.0110548062,1659.1119384766,235.2769775391,110.5505599976,0.0000000000,0.0000000000,0.0000000000,0.1672172695
S2,F0,2092.3840332031,1.0551515308,1805.4001464844,146.0752868652,140.9085998535,0.0000000000,0.0000000000,0.0000000000,0.0815509409
S2,F1,1932.9448242188,0.9747492133,1673.4299316406,122.6248092651,136.8900756836,0.0000000000,0.0000000000,0.0000000000,0.1802393794
S2,F2,1861.6317138672,0.9387872979,1606.7119140625,133.7911987305,121.1286392212,0.0000000000,0.0000000000,0.0000000000,0.1967512965
S2,F3,1875.7677001953,0.9459158209,1609.3176269531,149.2505645752,117.1995620728,0.0000000000,0.0000000000,0.0000000000,0.1943048984
S2,F4,1932.6868896484,0.9746191415,1647.2451171875,166.5257568359,118.9159088135,0.0000000000,0.0000000000,0.0000000000,0.1791118532
S2,F5,1941.4323730469,0.9790293311,1660.4936523438,161.9604034424,118.9784698486,0.0000000000,0.0000000000,0.0000000000,0.1769562662
S3,F0,2088.0598144531,1.0529709053,1753.8903808594,188.7135314941,145.4558563232,0.0000000000,0.0000000000,0.0000000000,0.1277359128
S3,F1,1950.7994384766,0.9837529732,1652.4158935547,154.7825622559,143.6011962891,0.0000000000,0.0000000000,0.0000000000,0.2113892287
S3,F2,1918.6519775391,0.9675415885,1658.0645751953,122.8157958984,137.7713470459,0.0000000000,0.0000000000,0.0000000000,0.1905726343
S3,F3,1874.3583984375,0.9452051354,1617.6242675781,127.4430541992,129.2910461426,0.0000000000,0.0000000000,0.0000000000,0.2035828382
S3,F4,1897.2777099609,0.9567629308,1618.3657226562,153.0109405518,125.9010391235,0.0000000000,0.0000000000,0.0000000000,0.2053517103
S3,F5,1898.7476806641,0.9575042106,1626.9523925781,146.1022491455,125.6932296753,0.0000000000,0.0000000000,0.0000000000,0.2018505633
S4,F0,2115.2602539062,1.0666875963,1774.0087890625,196.9819946289,144.2696228027,0.0000000000,0.0000000000,0.0000000000,0.1184298247
S4,F1,1988.9412841797,1.0029872181,1687.1717529297,155.8992614746,145.8701171875,0.0000000000,0.0000000000,0.0000000000,0.1965953559
S4,F2,1971.9038085938,0.9943955265,1691.8724365234,136.9855957031,143.0457916260,0.0000000000,0.0000000000,0.0000000000,0.1779062152
S4,F3,1924.0274658203,0.9702523503,1653.8266601562,129.8996887207,140.3011474609,0.0000000000,0.0000000000,0.0000000000,0.1970268488
S4,F4,1886.0196533203,0.9510856959,1633.6844482422,117.4617843628,134.8734283447,0.0000000000,0.0000000000,0.0000000000,0.2051284015
S4,F5,1885.0228271484,0.9505830145,1643.3741455078,107.7843551636,133.8644104004,0.0000000000,0.0000000000,0.0000000000,0.2003804296
S5,F0,2140.7749023438,1.0795541734,1773.3677978516,223.0550994873,144.3519592285,0.0000000000,0.0000000000,0.0000000000,0.1229034439
S5,F1,2013.6287841797,1.0154366791,1682.2630615234,184.8119049072,146.5538177490,0.0000000000,0.0000000000,0.0000000000,0.2031102628
S5,F2,2002.9440917969,1.0100485815,1692.1954345703,167.4924163818,143.2562255859,0.0000000000,0.0000000000,0.0000000000,0.1814415157
S5,F3,1951.6121826172,0.9841628255,1655.8529052734,154.0368347168,141.7225189209,0.0000000000,0.0000000000,0.0000000000,0.1992407888
S5,F4,1902.4122314453,0.9593521774,1635.6536865234,128.4140625000,138.3445129395,0.0000000000,0.0000000000,0.0000000000,0.2081214339
S5,F5,1882.9804687500,0.9495530900,1632.3450927734,113.9405593872,136.6947784424,0.0000000000,0.0000000000,0.0000000000,0.2083317041
